station_eva,direction,train_type,train_number,planned_date,planned_time,actual_date,actual_time,delay_minutes,status,day_of_week
8000207,arrival,R,17005221,2025-04-30,01:44,2025-04-30,01:44,0.2,Slight delay,Wednesday
8000207,arrival,R,17005222,2025-04-30,01:44,2025-04-30,01:44,0.2,Slight delay,Wednesday
8000207,arrival,R,17005223,2025-04-30,01:44,2025-04-30,01:44,0.2,Slight delay,Wednesday
8000207,departure,R,17005221,2025-04-30,01:44,2025-04-30,01:44,0.2,Slight delay,Wednesday
8000207,departure,R,17005222,2025-04-30,01:44,2025-04-30,01:44,0.2,Slight delay,Wednesday
8000207,departure,R,17005223,2025-04-30,01:44,2025-04-30,01:44,0.2,Slight delay,Wednesday
8000207,arrival,R,17005221,2025-04-30,01:44,2025-04-30,01:44,0.2,Slight delay,Wednesday
8000207,arrival,R,17005222,2025-04-30,01:44,2025-04-30,01:44,0.2,Slight delay,Wednesday
8000207,arrival,R,17005223,2025-04-30,01:44,2025-04-30,01:44,0.2,Slight delay,Wednesday
8000207,departure,R,17005221,2025-04-30,01:44,2025-04-30,01:44,0.2,Slight delay,Wednesday
8000207,departure,R,17005222,2025-04-30,01:44,2025-04-30,01:44,0.2,Slight delay,Wednesday
8000207,departure,R,17005223,2025-04-30,01:44,2025-04-30,01:44,0.2,Slight delay,Wednesday
8000207,arrival,R,17005221,2025-04-30,01:44,2025-04-30,01:44,0.2,Slight delay,Wednesday
8000207,arrival,R,17005222,2025-04-30,01:44,2025-04-30,01:44,0.2,Slight delay,Wednesday
8000207,arrival,R,17005223,2025-04-30,01:44,2025-04-30,01:44,0.2,Slight delay,Wednesday
8000207,departure,R,17005221,2025-04-30,01:44,2025-04-30,01:44,0.2,Slight delay,Wednesday
8000207,departure,R,17005222,2025-04-30,01:44,2025-04-30,01:44,0.2,Slight delay,Wednesday
8000207,departure,R,17005223,2025-04-30,01:44,2025-04-30,01:44,0.2,Slight delay,Wednesday
8000207,arrival,R,17005818,2025-04-30,01:45,2025-04-30,01:45,0.5,Slight delay,Wednesday
8000207,departure,R,17005818,2025-04-30,01:45,2025-04-30,01:45,0.5,Slight delay,Wednesday
8000207,arrival,R,17005818,2025-04-30,01:45,2025-04-30,01:45,0.5,Slight delay,Wednesday
8000207,departure,R,17005818,2025-04-30,01:45,2025-04-30,01:45,0.5,Slight delay,Wednesday
8000207,arrival,R,17005818,2025-04-30,01:45,2025-04-30,01:45,0.4,Slight delay,Wednesday
8000207,departure,R,17005818,2025-04-30,01:45,2025-04-30,01:45,0.4,Slight delay,Wednesday
8000207,arrival,R,17005818,2025-04-30,01:45,2025-04-30,01:45,0.5,Slight delay,Wednesday
8000207,departure,R,17005818,2025-04-30,01:45,2025-04-30,01:45,0.5,Slight delay,Wednesday
8000207,departure,R,17005809,2025-04-30,01:45,2025-04-30,01:45,0.4,Slight delay,Wednesday
8000207,arrival,R,17005818,2025-04-30,01:45,2025-04-30,01:45,0.4,Slight delay,Wednesday
8000207,departure,R,17005818,2025-04-30,01:45,2025-04-30,01:45,0.4,Slight delay,Wednesday
8000207,departure,R,17005809,2025-04-30,01:45,2025-04-30,01:45,0.5,Slight delay,Wednesday
8000207,arrival,R,17005818,2025-04-30,01:45,2025-04-30,01:45,0.5,Slight delay,Wednesday
8000207,departure,R,17005818,2025-04-30,01:45,2025-04-30,01:45,0.5,Slight delay,Wednesday
8000207,departure,R,17005809,2025-04-30,01:45,2025-04-30,01:45,0.5,Slight delay,Wednesday
8000207,arrival,R,17005818,2025-04-30,01:45,2025-04-30,01:45,0.5,Slight delay,Wednesday
8000207,departure,R,17005818,2025-04-30,01:45,2025-04-30,01:45,0.5,Slight delay,Wednesday
8000207,departure,R,17005809,2025-04-30,01:45,2025-04-30,01:45,0.4,Slight delay,Wednesday
8000207,departure,R,17005809,2025-04-30,01:45,2025-04-30,01:45,0.5,Slight delay,Wednesday
8000207,arrival,R,17015072,2025-04-30,08:19,2025-04-30,08:19,0.5,Slight delay,Wednesday
8000207,departure,R,17015072,2025-04-30,08:19,2025-04-30,08:19,0.5,Slight delay,Wednesday
8000207,arrival,R,17015112,2025-04-30,08:20,2025-04-30,08:20,0.6,Slight delay,Wednesday
8000207,departure,R,17015112,2025-04-30,08:20,2025-04-30,08:20,0.6,Slight delay,Wednesday
8000207,arrival,R,17015167,2025-04-30,08:21,2025-04-30,08:21,0.9,Slight delay,Wednesday
8000207,departure,R,17015167,2025-04-30,08:21,2025-04-30,08:21,0.9,Slight delay,Wednesday
8000207,arrival,R,17015167,2025-04-30,08:21,2025-04-30,08:21,0.8,Slight delay,Wednesday
8000207,departure,R,17015167,2025-04-30,08:21,2025-04-30,08:21,0.8,Slight delay,Wednesday
8000207,arrival,R,17015221,2025-04-30,08:23,2025-04-30,08:23,0.2,Slight delay,Wednesday
8000207,departure,R,17015221,2025-04-30,08:23,2025-04-30,08:23,0.2,Slight delay,Wednesday
8000207,arrival,R,17019698,2025-04-30,10:13,2025-04-30,10:13,0.9,Slight delay,Wednesday
8000207,departure,R,17019698,2025-04-30,10:13,2025-04-30,10:13,0.9,Slight delay,Wednesday
8000207,arrival,R,17019698,2025-04-30,10:13,2025-04-30,10:14,1.2,Slight delay,Wednesday
8000207,departure,R,17019698,2025-04-30,10:13,2025-04-30,10:14,1.2,Slight delay,Wednesday
8000207,arrival,R,17019698,2025-04-30,10:13,2025-04-30,10:13,0.9,Slight delay,Wednesday
8000207,departure,R,17019698,2025-04-30,10:13,2025-04-30,10:13,0.9,Slight delay,Wednesday
8000207,arrival,R,17019698,2025-04-30,10:13,2025-04-30,10:13,0.9,Slight delay,Wednesday
8000207,departure,R,17019698,2025-04-30,10:13,2025-04-30,10:13,0.9,Slight delay,Wednesday
8000207,arrival,R,17019698,2025-04-30,10:13,2025-04-30,10:14,1.2,Slight delay,Wednesday
8000207,departure,R,17019698,2025-04-30,10:13,2025-04-30,10:14,1.2,Slight delay,Wednesday
8000207,arrival,R,17019749,2025-04-30,10:15,2025-04-30,10:15,0.2,Slight delay,Wednesday
8000207,arrival,R,17019750,2025-04-30,10:15,2025-04-30,10:15,0.2,Slight delay,Wednesday
8000207,departure,R,17019749,2025-04-30,10:15,2025-04-30,10:15,0.2,Slight delay,Wednesday
8000207,departure,R,17019750,2025-04-30,10:15,2025-04-30,10:15,0.2,Slight delay,Wednesday
8000207,arrival,R,17019749,2025-04-30,10:15,2025-04-30,10:15,0.2,Slight delay,Wednesday
8000207,arrival,R,17019750,2025-04-30,10:15,2025-04-30,10:15,0.2,Slight delay,Wednesday
8000207,departure,R,17019749,2025-04-30,10:15,2025-04-30,10:15,0.2,Slight delay,Wednesday
8000207,departure,R,17019750,2025-04-30,10:15,2025-04-30,10:15,0.2,Slight delay,Wednesday
8000207,arrival,R,17019749,2025-04-30,10:15,2025-04-30,10:15,0.2,Slight delay,Wednesday
8000207,arrival,R,17019750,2025-04-30,10:15,2025-04-30,10:15,0.2,Slight delay,Wednesday
8000207,departure,R,17019749,2025-04-30,10:15,2025-04-30,10:15,0.2,Slight delay,Wednesday
8000207,departure,R,17019750,2025-04-30,10:15,2025-04-30,10:15,0.2,Slight delay,Wednesday
8000207,arrival,R,17019749,2025-04-30,10:15,2025-04-30,10:15,0.2,Slight delay,Wednesday
8000207,arrival,R,17019750,2025-04-30,10:15,2025-04-30,10:15,0.2,Slight delay,Wednesday
8000207,departure,R,17019749,2025-04-30,10:15,2025-04-30,10:15,0.2,Slight delay,Wednesday
8000207,departure,R,17019750,2025-04-30,10:15,2025-04-30,10:15,0.2,Slight delay,Wednesday
8000207,arrival,R,17019749,2025-04-30,10:15,2025-04-30,10:15,0.2,Slight delay,Wednesday
8000207,arrival,R,17019750,2025-04-30,10:15,2025-04-30,10:15,0.2,Slight delay,Wednesday
8000207,departure,R,17019749,2025-04-30,10:15,2025-04-30,10:15,0.2,Slight delay,Wednesday
